dataset,board,num_cpus,chunksize,implementation,runtime
GAP-road,baldo,8,16,openmp,0.24666399920057988
GAP-road,baldo,8,32,openmp,0.24666399920057988
GAP-road,baldo,8,64,openmp,0.24666399920057988
GAP-road,baldo,8,256,openmp,0.24666399920057988
GAP-road,baldo,8,1024,openmp,0.24666399920057988
GAP-road,baldo,8,4096,openmp,0.24666399920057988
rgg_n_2_22_s0,baldo,8,4,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,8,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,16,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,32,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,64,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,256,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,1024,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,4096,openmp,0.09752104157623154
europe_osm,baldo,8,4,openmp,0.44848195120075907
europe_osm,baldo,8,8,openmp,0.44848195120075907
europe_osm,baldo,8,16,openmp,0.44848195120075907
europe_osm,baldo,8,32,openmp,0.44848195120075907
europe_osm,baldo,8,64,openmp,0.44848195120075907
europe_osm,baldo,8,256,openmp,0.44848195120075907
europe_osm,baldo,8,1024,openmp,0.44848195120075907
europe_osm,baldo,8,4096,openmp,0.44848195120075907
GAP-road,baldo,16,4,openmp,0.4394561711161782
GAP-road,baldo,16,8,openmp,0.4394561711161782
GAP-road,baldo,16,16,openmp,0.4394561711161782
GAP-road,baldo,16,32,openmp,0.4394561711161782
GAP-road,baldo,16,64,openmp,0.4394561711161782
GAP-road,baldo,16,256,openmp,0.4394561711161782
GAP-road,baldo,16,1024,openmp,0.4394561711161782
GAP-road,baldo,16,4096,openmp,0.4394561711161782
rgg_n_2_22_s0,baldo,16,4,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,8,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,16,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,32,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,64,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,256,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,1024,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,4096,openmp,0.2154211530264738
europe_osm,baldo,16,4,openmp,0.733868957643868
europe_osm,baldo,16,8,openmp,0.733868957643868
europe_osm,baldo,16,16,openmp,0.733868957643868
europe_osm,baldo,16,32,openmp,0.733868957643868
europe_osm,baldo,16,64,openmp,0.733868957643868
europe_osm,baldo,16,256,openmp,0.733868957643868
europe_osm,baldo,16,1024,openmp,0.733868957643868
europe_osm,baldo,16,4096,openmp,0.733868957643868
GAP-road,baldo,32,4,openmp,0.5689909491347525
GAP-road,baldo,32,8,openmp,0.5689909491347525
GAP-road,baldo,32,16,openmp,0.5689909491347525
GAP-road,baldo,32,32,openmp,0.5689909491347525
GAP-road,baldo,32,64,openmp,0.5689909491347525
